0;0;0;0;land;false;unknown;0
1;15;117;1;land;false;forest;3
2;37;132;1;land;false;forest;3
3;7;96;1;land;false;plains;3
4;37;103;1;land;false;plains;3
5;34;133;1;land;false;plains;3
6;37;146;1;land;false;plains;3
7;6;108;1;land;false;plains;3
8;9;140;1;land;false;forest;3
9;25;163;1;land;false;plains;3
10;32;154;1;land;false;forest;3
11;27;157;1;land;false;forest;3
12;37;139;1;land;false;plains;3
13;1;116;1;land;false;plains;3
14;32;124;1;land;false;plains;3
15;28;145;1;land;false;plains;3
16;35;110;1;land;false;forest;3
17;3;153;1;land;false;plains;3
18;32;159;1;land;false;plains;3
19;1;140;1;land;false;plains;3
20;13;164;1;land;false;forest;3
21;16;105;1;land;false;forest;3
22;21;107;1;land;false;forest;3
23;8;123;1;land;false;plains;3
24;37;130;1;land;false;plains;3
25;9;123;1;land;false;forest;3
26;21;129;1;land;false;plains;3
27;18;134;1;land;false;forest;3
28;13;133;1;land;false;plains;3
29;10;162;1;land;false;plains;3
30;20;155;1;land;false;plains;3
31;31;128;1;land;false;plains;3
32;36;151;1;land;false;plains;3
33;33;156;1;land;false;plains;3
34;37;118;1;land;false;plains;3
35;25;106;1;land;false;plains;3
36;36;156;1;land;false;plains;3
37;21;97;1;land;false;plains;3
38;5;148;1;land;false;plains;3
39;17;111;1;land;false;forest;3
40;23;112;1;land;false;forest;3
41;24;98;1;land;false;plains;3
42;28;100;1;land;false;forest;3
43;23;149;1;land;false;forest;3
44;16;150;1;land;false;forest;3
45;39;131;1;land;false;forest;3
46;34;160;1;land;false;forest;3
47;17;145;1;land;false;forest;3
48;4;144;1;land;false;forest;3
49;17;113;1;land;false;forest;3
50;6;156;1;land;false;forest;3
51;38;138;1;land;false;forest;3
52;32;169;1;land;false;forest;3
53;4;190;1;land;false;forest;3
54;26;181;1;land;false;plains;3
55;38;204;1;land;false;plains;3
56;20;217;1;land;false;plains;3
57;5;181;1;land;false;hills;3
58;12;204;1;land;false;forest;3
59;16;231;1;land;false;plains;3
60;8;191;1;land;false;plains;3
61;32;178;1;land;false;plains;3
62;19;169;1;land;false;hills;3
63;25;204;1;land;false;forest;3
64;4;188;1;land;false;plains;3
65;29;161;1;land;false;plains;3
66;38;225;1;land;false;hills;3
67;4;232;1;land;false;hills;3
68;32;191;1;land;false;forest;3
69;3;158;1;land;false;forest;3
70;38;231;1;land;false;forest;3
71;30;210;1;land;false;plains;3
72;7;179;1;land;false;plains;3
73;35;233;1;land;false;forest;3
74;1;230;1;land;false;hills;3
75;18;224;1;land;false;hills;3
76;36;205;1;land;false;plains;3
77;27;192;1;land;true;forest;3
78;5;14;1;land;false;forest;3
79;23;62;1;land;false;forest;3
80;22;1;1;land;false;forest;3
81;38;48;1;land;false;forest;3
82;24;2;1;land;false;forest;3
