1;1492;9.900000;622;small
2;3261;9.900000;1497;small
3;4550;9.900000;1442;small
4;3611;9.900000;407;small
5;3931;9.900000;906;small
6;2757;9.900000;1044;small
7;2667;9.900000;1397;small
8;4935;9.900000;981;small
9;2535;9.900000;760;small
10;3247;9.900000;1103;small
11;2867;9.900000;1784;small
12;4345;9.900000;1581;small
13;4819;9.900000;1686;small
14;4005;9.900000;834;small
15;4103;9.900000;1831;small
16;3035;9.900000;837;small
17;4752;9.900000;780;small
18;1374;9.900000;123;small
19;1090;9.900000;322;small
20;854;9.900000;1335;small
21;3712;9.900000;1006;small
22;1961;9.900000;1501;small
23;4164;9.900000;888;small
24;1810;9.900000;574;small
25;1284;9.900000;453;small
26;3110;9.900000;316;small
27;4836;9.900000;1311;small
28;2324;9.900000;226;small
29;4347;9.900000;603;small
30;4649;9.900000;1752;small
31;2511;9.900000;429;small
32;2694;9.900000;477;small
33;2839;9.900000;1331;small
34;2682;9.900000;526;small
35;1174;9.900000;1120;small
36;2790;9.900000;553;small
37;4559;9.900000;455;small
38;3554;9.900000;381;small
39;3471;9.900000;1389;small
40;2709;9.900000;581;small
41;2005;9.900000;409;small
42;3119;9.900000;631;small
43;2206;9.900000;451;small
44;2880;9.900000;1120;small
45;1074;9.900000;125;small
46;304;9.900000;288;small
47;4437;9.900000;1306;small
48;4171;9.900000;1438;small
49;4670;9.900000;254;small
50;4620;9.900000;975;small
51;3191;9.900000;1436;small
52;607;9.900000;1414;small
53;568;9.900000;1767;small
54;5106;9.900000;1399;small
55;4639;9.900000;862;small
56;617;9.900000;456;small
57;1114;9.900000;508;small
58;3864;9.900000;1610;small
59;4212;9.900000;1497;small
60;4799;9.900000;681;small
61;103;9.900000;1531;small
62;2076;9.900000;231;small
63;2237;9.900000;799;small
64;4228;9.900000;208;small
65;2782;9.900000;1544;small
66;1401;9.900000;664;small
67;4566;9.900000;268;small
68;4411;9.900000;1089;small
69;3156;9.900000;547;small
70;1979;9.900000;721;small
71;5565;9.900000;1370;small
72;783;9.900000;1742;small
73;2920;9.900000;951;small
74;3392;9.900000;1268;small
75;1797;9.900000;698;small
76;1016;9.900000;1006;small
77;1535;9.900000;1315;small
78;3293;9.900000;878;small
79;4105;9.900000;1043;small
80;3669;9.900000;918;small
81;5017;9.900000;1245;small
82;3440;9.900000;1506;small
83;2512;9.900000;907;small
84;1650;9.900000;906;small
85;1825;9.900000;527;small
86;4399;9.900000;1176;small
87;3557;9.900000;1694;small
88;853;9.900000;151;small
89;3987;9.900000;1373;small
90;3692;9.900000;787;small
91;3346;9.900000;105;small
92;2853;9.900000;978;small
93;3174;9.900000;1985;small
94;3778;9.900000;1426;small
95;3752;9.900000;1585;small
96;928;9.900000;1273;small
97;3462;9.900000;1038;small
98;2238;9.900000;817;small
99;3235;9.900000;1302;small
100;5154;9.900000;507;small
101;3345;9.900000;690;small
102;2000;9.900000;958;small
103;1713;9.900000;1687;small
104;2988;9.900000;1531;small
105;1026;9.900000;706;small
106;1322;9.900000;817;small
107;4979;9.900000;870;small
108;2513;9.900000;838;small
109;1569;9.900000;947;small
110;1479;9.900000;1152;small
111;1872;9.900000;508;small
112;3869;9.900000;526;small
113;3054;9.900000;1222;small
114;1999;9.900000;1368;small
115;2317;9.900000;640;small
116;4338;9.900000;301;small
117;1421;9.900000;385;small
118;2561;9.900000;1574;small
119;5519;9.900000;1319;small
120;2092;9.900000;711;small
121;2219;9.900000;1497;small
122;3169;9.900000;794;small
123;3464;9.900000;634;small
124;4814;9.900000;980;small
125;2036;9.900000;584;small
126;4865;9.900000;1794;small
127;1952;9.900000;891;small
128;2891;9.900000;1444;small
129;1101;9.900000;358;small
130;3669;9.900000;1833;small
131;5449;9.900000;1600;small
132;4268;9.900000;1079;small
133;1487;9.900000;817;small
134;1599;9.900000;483;small
135;5238;9.900000;1822;small
136;5057;9.900000;1079;small
137;2512;9.900000;1294;small
138;4001;9.900000;1462;small
139;3245;9.900000;836;small
140;547;9.900000;1405;small
141;717;9.900000;1790;small
142;695;9.900000;602;small
143;3911;9.900000;1147;small
144;3238;9.900000;497;small
145;3956;9.900000;1628;small
146;4076;9.900000;1484;small
147;2601;9.900000;1222;small
148;3343;9.900000;312;small
149;329;9.900000;547;small
150;1119;9.900000;1259;small
151;1128;9.900000;718;small
152;5507;9.900000;201;small
153;1347;9.900000;345;small
154;758;9.900000;1369;small
155;1936;9.900000;1731;small
156;5137;9.900000;1033;small
157;2540;9.900000;173;small
158;664;9.900000;1021;small
159;2986;9.900000;385;small
160;3899;9.900000;853;small
161;440;9.900000;364;small
162;4412;9.900000;1140;small
163;1728;9.900000;39;small
164;3526;9.900000;698;small
165;622;9.900000;1178;small
166;3683;9.900000;1168;small
167;1917;9.900000;1590;small
168;2188;9.900000;931;small
169;204;9.900000;503;small
170;3300;9.900000;1353;small
171;4770;9.900000;1023;small
172;2992;9.900000;1616;small
173;1220;9.900000;132;small
174;1233;9.900000;1935;small
175;1713;9.900000;449;small
176;2674;9.900000;1357;small
177;857;9.900000;1025;small
178;1761;9.900000;1538;small
179;2271;9.900000;841;small
180;540;9.900000;641;small
181;5000;9.900000;1856;small
182;1461;9.900000;928;small
183;2163;9.900000;971;small
184;1909;9.900000;729;small
185;3160;9.900000;487;small
186;2885;9.900000;1057;small
187;4323;9.900000;741;small
188;3651;9.900000;101;small
189;1789;9.900000;1943;small
190;704;9.900000;1479;small
191;2584;9.900000;1911;small
192;3696;9.900000;562;small
193;3790;9.900000;1869;small
194;3586;9.900000;1429;small
195;5371;9.900000;1721;small
196;4426;9.900000;1959;small
197;4172;9.900000;350;small
198;2674;9.900000;1324;small
199;1282;9.900000;1929;small
200;476;9.900000;623;small
201;4926;9.900000;1031;small
202;1421;9.900000;693;small
203;3630;9.900000;1165;small
204;684;9.900000;185;small
205;3827;9.900000;1046;small
206;1375;9.900000;402;small
207;1331;9.900000;11;small
208;2702;9.900000;1823;small
209;1999;9.900000;1347;small
210;1695;9.900000;1093;small
211;3262;9.900000;1693;small
212;4705;9.900000;1258;small
213;5095;9.900000;1514;small
214;4043;9.900000;1198;small
215;3681;9.900000;338;small
216;3207;9.900000;110;small
217;2356;9.900000;1102;small
218;1856;9.900000;1520;small
219;3983;9.900000;599;small
220;146;9.900000;1730;small
221;4623;9.900000;303;small
222;4151;9.900000;1089;small
223;3395;9.900000;909;small
224;830;9.900000;330;small
225;1246;9.900000;1697;small
226;3049;9.900000;1926;small
227;3289;9.900000;653;small
228;2638;9.900000;187;small
229;5568;9.900000;1523;small
230;4718;9.900000;416;small
231;1443;9.900000;1971;small
232;3376;9.900000;1010;small
233;3493;9.900000;246;small
234;61;9.900000;481;small
235;2909;9.900000;1723;small
236;1651;9.900000;32;small
237;4282;9.900000;490;small
238;730;9.900000;374;small
239;4710;9.900000;547;small
240;3597;9.900000;641;small
241;1889;9.900000;1879;small
242;2546;9.900000;622;small
243;455;9.900000;1295;small
244;1946;9.900000;1661;small
245;5063;9.900000;1704;small
246;3782;9.900000;310;small
247;1096;9.900000;132;small
248;2458;9.900000;1100;small
249;1016;9.900000;1774;small
250;3651;9.900000;531;small
251;1626;9.900000;2025;small
252;3895;9.900000;221;small
253;429;9.900000;1358;small
254;1857;9.900000;1694;small
255;928;9.900000;1113;small
256;2499;9.900000;840;small
257;817;9.900000;1947;small
258;4340;9.900000;1765;small
259;879;9.900000;221;small
260;3559;9.900000;18;small
261;2482;9.900000;687;small
262;1841;9.900000;737;small
263;1344;9.900000;520;small
264;1106;9.900000;1701;small
265;180;9.900000;272;small
266;3355;9.900000;374;small
267;184;9.900000;259;small
268;515;9.900000;191;small
269;1379;9.900000;529;small
270;2191;9.900000;80;small
271;136;9.900000;345;small
272;1520;9.900000;1303;small
273;3039;9.900000;1272;small
274;2196;9.900000;276;small
275;142;9.900000;326;small
276;2643;9.900000;1400;small
277;5399;9.900000;1219;small
278;1899;9.900000;1895;small
279;1537;9.900000;39;small
280;4394;9.900000;806;small
281;3192;9.900000;1743;small
282;5584;9.900000;2037;small
283;1362;9.900000;1854;small
284;2614;9.900000;1368;small
285;3230;9.900000;1241;small
286;127;9.900000;63;small
287;4764;9.900000;1990;small
288;1154;9.900000;528;small
289;582;9.900000;1783;small
290;4557;9.900000;58;small
291;2479;9.900000;976;small
